Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
Reliance Industries Ltd,RELIANCE,Energy,Oil & Gas - Refining & Marketing,1762050.275,25.30917791,5905,13.31222471,925788,458991,158788,152883,48.96377587,7.935513764,9.416424035,0.383989839,0.495784132,1285.45
HDFC Bank Ltd,HDFCBANK,Financials,Private Banks,1377342.58,21.50013611,14782.62,4.698014116,469778.65,,19069.34,4286.72,97.23567559,16.85673681,4.615515635,1.075547653,0,1821.45
Tata Consultancy Services Ltd,TCS,Information Technology,IT Services & Consulting,1312985.87,28.60037183,41664,20.0083474,91319,8021,44338,2674,126.1704653,50.30324613,63.17426133,2.011601152,0.087834952,3657.75
Bharti Airtel Ltd,BHARTIARTL,Communication Services,Telecom Services,1028932.771,137.7973445,38846.7,41.11091512,105563.9,215592.3,78898.2,40051.5,12.84920485,7.044067163,11.64547123,0.439685642,2.04229192,1730.5
ICICI Bank Ltd,ICICIBANK,Financials,Private Banks,959657.8858,21.68405744,153605.93,48.03226056,270032.26,,157284.48,3678.55,63.19774374,18.01908241,6.528727006,0.731781798,0,1343.7
State Bank of India,SBIN,Financials,Public Banks,696834.3323,10.38738865,21632.43,5.896382028,430557.13,,21632.43,0,75.16814569,16.72256109,5.124775277,1.754608985,0,772.85
Infosys Ltd,INFY,Information Technology,IT Services & Consulting,659888.4844,25.15489972,23009,18.20136294,88461,8359,25210,2201,63.39276676,31.94160335,37.49820007,2.885907751,0.094493619,1628.45
Bajaj Finance Ltd,BAJFINANCE,Financials,Consumer Finance,562928.4301,38.95383073,-73797.92,-89.34488053,76695.35,293345.83,-72760.14,1037.78,236.4337249,22.05152115,5.654878506,0.39522409,3.824818975,9067.25
Hindustan Unilever Ltd,HINDUNILVR,Consumer Staples,FMCG - Household Products,530114.7805,51.58263895,13992,19.22099421,51423,1484,15469,1477,43.73952256,20.16185198,21.73349793,1.861537098,0.028858682,2271.3
ITC Ltd,ITC,Consumer Staples,FMCG - Tobacco,514205.1818,25.13371676,13616.33,25.35702093,74889.97,303.43,17178.86,3562.53,15.5374865,28.33061781,34.86894079,3.338446034,0.004051677,409.8
Life Insurance Corporation Of India,LICI,Financials,Insurance,506347.691,12.37534332,25353.88,5.846008926,82899.6,0,26121.65,767.77,64.68910267,63.31293791,0.895112016,1.249141669,0,789.4
Larsen and Toubro Ltd,LT,Industrials,Construction & Engineering,478821.284,36.66569039,13749.75,10.4971686,102549.66,116322.22,18266.28,4516.53,93.94533532,12.671558,18.48036665,0.976120624,1.134301372,3469.6
HCL Technologies Ltd,HCLTECH,Information Technology,IT Services & Consulting,434767.8512,27.6886926,21400,20.32181696,68271,5758,22448,1048,57.86270392,23.49385422,28.21185107,3.24565362,0.084340349,1624.9
Kotak Mahindra Bank Ltd,KOTAKBANK,Financials,Private Banks,432667.1466,23.7556777,14558.31,26.03733594,129971.69,,15685,1126.69,91.6508401,15.03446607,7.396177078,0.091891465,0,2170
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Health Care,Pharmaceuticals,428233.3054,44.71766006,9933.17,19.12212707,67105.97,3273.67,12134.98,2201.81,39.91264296,15.14993026,16.57741308,0.75638727,0.048783588,1764.75
Maruti Suzuki India Ltd,MARUTI,Consumer Discretionary,Four Wheelers,374838.6088,27.79011349,7601.2,7.790281334,85636,118.6,16801.1,9199.9,437.5857244,16.83539675,19.71756743,1.048459813,0.001384932,11868.9
NTPC Ltd,NTPC,Utilities,Power Generation,355819.1638,17.09691738,9968.67,25.32933569,165122.28,237130.98,40784.59,30815.92,21.46293346,13.16891924,10.62527256,2.11200436,1.436093179,366.95
Axis Bank Ltd,AXISBANK,Financials,Private Banks,339971.6938,12.88445073,-7940.08,20.74152818,157522.96,,-5554.67,2385.41,85.6219105,18.34298083,7.785822208,0.09078904,0,1118.55
Mahindra and Mahindra Ltd,M&M,Consumer Discretionary,Four Wheelers,332736.2829,29.52763447,-15575.94,4.344042899,79531.07,106625.52,-5629.95,9945.99,97.44190628,15.37193314,14.74216385,0.706919263,1.340677549,2736
UltraTech Cement Ltd,ULTRACEMCO,Materials,Cement,325051.252,46.40274832,1891.95,19.02429467,60283.42,11402.95,10897.54,9005.59,242.650895,12.21835109,14.06152158,0.621687935,0.189155658,11421.2
